"","state_GEOID","State","pop_s","pop_wra_s","pct_wra_hisplatino","pct_wra_black","pct_wra_white","pct_wra_asian","pct_wra_native","pct_wra_pacificisland","pct_wra_mixed","pct_wra_other","pop_wra_hisplatino","pop_wra_black","pop_wra_white","pop_wra_asian","pop_wra_native","pop_wra_pacificisland","pop_wra_mixed","pop_wra_other","pop_hisplatino_alone","pop_black_alone","pop_white_alone","pop_asian_alone","pop_native_alone","pop_pacificisland_alone","pop_mixed_alone","pop_other_alone","pct_pop_hisplatino_alone","pct_pop_black_alone","pct_pop_white_alone","pct_pop_asian_alone","pct_pop_native_alone","pct_pop_pacificisland_alone","pct_pop_mixed_alone","pct_pop_other_alone"
"14",17,"Illinois",12770631,2533357,19.910300837979,15.7101032345619,67.4494751430612,6.67430606898278,0.267708025359237,0.0479206049522432,2.73384288120466,7.11664404187803,504399,397993,1708736,169084,6782,1214,69258,180290,2186387,1783708,7829850,692370,15108,2908,239820,20480,17.1204304626764,13.9672659870918,61.3113792106279,5.42158018660159,0.118302689976713,0.022770996985192,1.87790250928086,0.160367956759537
"15",18,"Indiana",6665703,1298644,8.10899676893745,10.7358906674962,80.5049728794034,3.17877724765217,0.219767696150754,0.045277997665257,2.70382029255131,2.61149321908083,105307,139421,1045473,41281,2854,588,35113,33914,461850,616545,5271071,150840,12348,1981,140282,10786,6.9287515510367,9.24951201696205,79.0774956519965,2.26292710611319,0.185246777421676,0.0297192959242258,2.10453421042012,0.161813390125543
"16",19,"Iowa",3139508,592437,7.27841103779811,4.37278562952685,87.4256672017447,3.56122254349408,0.456588633052966,0.155628362171843,2.41072046479204,1.61738716521757,43120,25906,517942,21098,2705,922,14282,9582,188311,113560,2690052,75326,9251,3359,56433,3216,5.99810543562877,3.61712726962314,85.6838714855958,2.39929313765087,0.29466400467844,0.106991286532794,1.79751094757523,0.102436432714935
"17",20,"Kansas",2910652,559862,13.8794917318911,6.12007959104208,82.0023505792499,4.12548092208437,0.964880631298427,0.126816965609382,3.79414927249929,2.86624203821656,77706,34264,459100,23097,5402,710,21242,16047,345680,164509,2208576,84850,19236,1939,83359,2503,11.8763768392786,5.6519638898776,75.8790813879502,2.91515440526727,0.660882853738612,0.0666173764503623,2.86392876922422,0.0859944782131289
"18",21,"Kentucky",4449052,849632,4.07976629882114,8.83770856088283,85.3610739708486,2.10738296109374,0.190199992467327,0.091686753794584,2.24261798049038,1.16932978042258,34663,75088,725255,17905,1616,779,19054,9935,162994,353997,3761855,64764,8156,2667,88488,6131,3.66356698011172,7.95668380589843,84.5540802849686,1.45568089561552,0.183319952205549,0.0599453546508335,1.98891808861753,0.137804637931856
"19",22,"Louisiana",4664362,932395,5.29389368239855,35.8162581309424,58.0941553740636,2.04698652395176,0.582263954654411,0.0388247470224529,1.91120716005556,1.5103041093099,49360,333949,541667,19086,5429,362,17820,14082,239164,1492386,2735887,80014,23892,1088,82139,9792,5.1274750973445,31.9955012068103,58.6551172486183,1.71543289307305,0.512224394247273,0.0233258053298608,1.76099110660793,0.209932247968747
"20",23,"Maine",1335492,232114,2.25923468640409,1.72673772370473,92.5446116994236,1.88700379985697,0.795298861766201,0.0314500633309494,2.64826766158009,0.366630190337507,5244,4008,214809,4380,1846,73,6147,851,22100,17368,1244531,14946,8017,353,26985,1192,1.65482084505186,1.30049449940546,93.1889520865718,1.11913811539118,0.600303109266098,0.0264322062580682,2.02060364270246,0.0892554953530234
"21",24,"Maryland",6018848,1187495,11.2955422970202,32.8723068307656,50.6888029002227,7.30394654293281,0.265264274796947,0.0592844601450953,3.5802256009499,5.23016939018691,134134,390357,601927,86734,3150,704,42515,62108,606482,1768596,3062363,375951,12002,2294,171835,19325,10.0763800647566,29.3842941373499,50.8795536953251,6.24622851416085,0.199406929698175,0.0381136057930022,2.85494832233677,0.321074730579672
"22",25,"Massachusetts",6850553,1384338,14.2293283865646,8.72525351467633,73.3232779855787,9.05465283767404,0.210064305104678,0.0497710819178553,3.6143629662698,5.02261730877864,196982,120787,1015042,125347,2908,689,50035,69530,809179,473181,4903539,449793,9667,2210,146621,56363,11.8118785446956,6.90719420753332,71.5787324030629,6.56579111204599,0.141112695573627,0.0322601693615099,2.14027977011491,0.82275109761212
"23",26,"Michigan",9965265,1879630,6.21207365279337,15.8403515585514,74.5311045258907,4.24987896554109,0.580752594925597,0.03894383469087,3.29006240589903,1.46890611450126,116764,297740,1400909,79882,10916,732,61841,27610,507353,1358034,7477400,310420,45569,2649,250188,13652,5.09121433298563,13.6276757316539,75.0346327970204,3.11502002204658,0.457278356370854,0.0265823337362328,2.51060057108366,0.136995855102699
"24",27,"Minnesota",5563378,1065445,6.46330875831225,7.69293581555125,78.6026495971167,6.84896921004838,1.15641821023141,0.0372614259769392,3.37239369465341,2.28937204642192,68863,81964,837468,72972,12321,397,35931,24392,299556,349808,4442126,266436,52405,1952,143089,8006,5.38442651209391,6.28769068001491,79.8458418608263,4.78910474894929,0.941963677463584,0.035086596668427,2.57198054850848,0.143905375475116
"25",28,"Mississippi",2984418,592671,3.22877279299983,42.8733648179175,52.9435386580413,1.21770763205893,0.598814519353908,0.0469062937110134,1.21467053390498,1.10499754501233,19136,254098,313781,7217,3549,278,7199,6549,91202,1121516,1689927,29466,13341,615,35086,3265,3.05593921494911,37.5790522641265,56.6250103035165,0.987328182580322,0.447021831392251,0.0206070329290334,1.17563960544401,0.109401565062267
"26",29,"Missouri",6104910,1171355,4.87981867153852,13.2374899155252,79.2535140926534,2.7611612192717,0.475261556061143,0.164851816912891,2.6151764409594,1.4925449586163,57160,155058,928340,32343,5567,1931,30633,17483,254791,696379,4849901,119481,23632,7376,143354,9996,4.17354227990257,11.4068675869096,79.4426289658652,1.95712958913399,0.38709825370071,0.12082078196075,2.34817548497848,0.16373705754876
